,Titlu,Titlu2,Autor,Nationalitate,GenWiki
66,George cel viteaz,George cel viteaz,Petre Ispirescu,Nationala,povesti
67,Tinerețe fără bătrânețe și viață fără de moarte,Tinerețe fără bătrânețe și viață fără de moarte,Petre Ispirescu,Nationala,povesti
68,Spaima zmeilor,Spaima zmeilor,Ioan Slavici,Nationala,povesti
69,Neghiniță,Neghiniță,Barbu Ștefănescu-Delavrancea,Nationala,povesti
70,Omul de piatră,Omul de piatră,Nicolae Filimon,Nationala,povesti
71,Rodul tainic,Rodul tainic,Ioan Slavici,Nationala,povesti
72,Aleodor împărat,Aleodor împărat,Petre Ispirescu,Nationala,povesti
73,Poetul murind,Poetul murind,Alphonse Lamartine,Franceza,poezie
74,Romancero español,Romancero español,Mihai Eminescu,Romana,poezie
75,Anul Nou,Anul Nou,Anton Bacalbașa,Romana,pamflet
76,Confesiune,Confesiune,Mihai Eminescu,Romana,poezie
77,Djali,Djali,Duiliu Zamfirescu,Romana,proza
78,Al. Marghiloman,Al. Marghiloman,Duiliu Zamfirescu,Romana,proza
79,Albatrosul,Albatrosul,Charles Baudelaire,Franceza,poezie
80,Adio (Zamfirescu),Adio,Duiliu Zamfirescu,Romana,proza
81,Aducând cântări mulțime,Aducând cântări mulțime,Mihai Eminescu,Romana,poezie
82,Adânca mare...,Adânca mare...,Mihai Eminescu,Romana,poezie
83,Afară-i toamnă,Afară-i toamnă,Mihai Eminescu,Romana,poezie
84,Seara de toamnă,Seara de toamnă,Duiliu Zamfirescu,Romana,proza
85,Cugetările sărmanului Dionis,Cugetările sărmanului Dionis,Mihai Eminescu,Romana,poezie
86,Ai noștri tineri...,Ai noștri tineri...,Mihai Eminescu,Romana,poezie
87,"Din periodice/Din Timpul, aprilie 1879",Din periodice,Mihai Eminescu,Romana,articol
88,Sauve qui peut,Sauve qui peut,Mihai Eminescu,Romana,poezie
89,Istoria se repetă,Istoria se repetă,Ion Luca Caragiale,Nationala,proza
90,O viață de om așa cum a fost/Universitatea de acasă,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
91,Păpușile maiestății-sale,Păpușile maiestății-sale,Anton Bacalbașa,Romana,pamflet
92,Așa să mor!,Așa să mori!,Ion Luca Caragiale,Nationala,proza
93,Bene-Merenti,Bene-Merenti,Anton Bacalbașa,Romana,pamflet
94,Băiatul României,Băiatul României,Anton Bacalbașa,Romana,pamflet
95,Politică înaltă,Politică înaltă,Ion Luca Caragiale,Nationala,proza
96,Doi aștri...,Doi aștri...,Mihai Eminescu,Romana,poezie
97,O viață de om așa cum a fost/După licență,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
98,Povestea lui Harap-Alb,Povestea lui Harap Alb(1877),Ion Creangă,Nationala,povesti
